sku,name,month,batch_count,purchase,sales,rate,unsold
2551363,绿色拖拉机风车造型旋转轮,4月,10,225,88,39.1,137
2561288,【定制】护腕鼠标垫【黑猫】【228*192*16mm】,5月,9,200,50,25.0,150
2561105,【22pcs】农场动物蛋糕装饰品【备注：每款各1装一包，加0.2元包装费】,4月,9,190,57,30.0,133
2561377,【4pcs】毛绒小笼包钥匙扣解压玩具-【备注：这4款装一袋】,5月,7,160,31,19.4,129
2551453,365天女性祈祷皮革本,5月,7,270,60,22.2,210
2561220,可爱卡皮塑料杯800ml-【粉色（实色）】,4月,7,410,120,29.3,290
2561211,【定制】防水透明收纳包【药物】【备注：联系供应商，拿图要这款】,4月,7,150,45,30.0,105
2561300,【30pcs】露营宾果游戏卡【备注：30张/包】,5月,7,190,59,31.1,131
2561162,【76pcs】丛林动物主题生日装饰套装-【动物肩带款】【备注：套装包装高度压缩至2.5cm】,4月,7,135,44,32.6,91
2620469,可塑形冰皮糯米糍捏捏手作球【草莓糯米糍【送抽气针】6cm 备注：联系客服改价运费10元】,4月,7,175,64,36.6,111
2561212,【定制】防水透明收纳包【数据线】,4月,7,125,47,37.6,78
2630680,基督教祈祷本,5月,6,345,49,14.2,296
2561362,【4pcs】猫咪木质相框装饰冰箱贴【SCE146 3/5/6】-带磁产品！【备注：联系供应商，图片四个款一装，包装高度不超过2.5cm】,5月,6,80,15,18.8,65
2551576,【定制】亚克力挂牌-【京都】,5月,6,170,32,18.8,138
2620598,【定制】蛋壳杯-粉红牛仔1,5月,6,110,22,20.0,88
2551574,【2pcs】花朵喂水器【蓝色】,5月,6,130,31,23.8,99
2620681,木制复古书籍阅读追踪器桌面装饰【款式11(原色)*单层厚0.5cm】,5月,6,95,28,29.5,67
2561213,【定制】防水透明收纳包【药丸】,4月,6,180,58,32.2,122
2620580,【4pcs】易拉罐塑料盖子【新款全款4包-opp袋子独立包装 备注：下单备注4只装平铺打包】,5月,6,225,74,32.9,151
2620505,【4pcs】关节可动3d打印积木人偶玩具【（红色送【4武器+6手型】＋橙蓝送【4武器+6手型】＋紫色送【4武器+6手型】＋夜光送【4武器+6手型】)*成品无需拼装 备注四款各1为一套彩盒打包并协商包邮】,4月,6,165,55,33.3,110
2561277,【定制】化妆包【防晒护理】,5月,6,185,64,34.6,121
2630534,【定制】铁皮画-花园【fuck打码】,4月,6,115,40,34.8,75
2561285,【2pcs】怀孕徽章 【备注：两个装】,5月,6,220,79,35.9,141
2551507,防水药片收纳包【黑色14页】,5月,5,425,61,14.4,364
2561452,【4sets】爱心镜面反光驱鸟风铃-【10cm4条12片爱心】【备注：盒装+0.5元】,5月,5,105,17,16.2,88
2561416,针织松鼠杯垫,5月,5,200,44,22.0,156
2620435,【定制】铁皮画-30*20-花园标语,4月,5,140,33,23.6,107
2630512,【2pcs】麦芽糖高地牛捏捏【麦芽糖黑角牛蓝色+麦芽糖黑角牛粉色】【仓库包装】,4月,5,185,45,24.3,140
2630491,【定制】【6pcs】海报内芯-黑白豹纹六联画,4月,5,120,30,25.0,90
2551467,知更鸟金属工艺品,5月,5,250,63,25.2,187
2561273,【4sets】6到7岁生日主题装饰用品套装-【纸旗1套（3个banner）+插旗12个+大插旗1个+16个气球】,5月,5,155,39,25.2,116
2620586,头巾固定专用发箍【橡胶材质磨砂面轻薄款（不带盒） 备注：下单备注要光滑表面的并联系改价】,5月,5,260,66,25.4,194
2551320,【2pcs】恶魔眼太阳能无线装饰灯【Y1*1+Y2*1】带电,4月,5,135,35,25.9,100
2561194,【定制】塑料杯750ml【多款蝴蝶结】,4月,5,135,36,26.7,99
