sku,name,month,purchase,sales,rate,unsold
2551132,【2pcs】立方海岛贝壳捏捏5.5cm【蓝色*2】,5月,30,0,0.0,30
2551508,防水药片收纳包【粉色14页】,5月,30,0,0.0,30
2551506,防水药片收纳包【绿色14页】,5月,30,0,0.0,30
2551368,蒸笼包子捏捏乐【透粉色】,4月,35,0,0.0,35
2620514,【定制】小手提包-黑猫与月亮1,4月,30,0,0.0,30
2561267,【10pcs】限位石膏板螺丝批头套装-【铝磁圈定位螺丝-黑*10】-带磁产品！【备注：10个/盒，改价22元一套】,5月,30,1,3.3,29
2630679,【2pcs】甜酷y2k粉色蝴蝶结钥匙扣【门扣版+门扣版粉色领结】,5月,30,1,3.3,29
2551477,【定制】【2pcs】亚克力花盆装饰-【知更鸟】,5月,60,3,5.0,57
2630596,【50pcs】火漆印章贴纸【下单备注50个一包】【椭圆迷迭树枝—焦铜色】【浮雕花边迷迭香树枝-古铜色】【浮雕圆形迷迭香-古铜色】【浮雕玫瑰—深红】【蝴蝶结-裸粉】,5月,60,3,5.0,57
2561457,【2pcs】不锈钢蝴蝶吊坠钥匙扣【F款+G款】【备注：这两款装一包】,5月,35,2,5.7,33
2620458,【定制】化妆包-粉色豹纹1,4月,30,2,6.7,28
2561229,【20pcs】水管接头套装-【20PCS欧规】,4月,30,2,6.7,28
2630551,【2pcs】水豚吐司钥匙扣【头顶橘子+洗澡】,4月,30,3,10.0,27
2630463,【定制】挂牌-花丛,4月,30,3,10.0,27
2561445,【8pcs】油画系列金属书签夹 【备注：这8款一装，加1元/套包装费】,5月,60,6,10.0,54
2561255,【3pcs】指甲角质层护油笔-带液体！【备注：三只装，平铺包装】,4月,40,4,10.0,36
2561361,【4pcs】风景木质相框装饰冰箱贴【SCE144-2/3/4/5】-带磁产品！【备注：联系供应商，图片四个款一装，包装高度不超过2.5cm】,5月,45,5,11.1,40
2561463,P-40汽车出风口夹螺旋桨-【绿色虎头】,5月,45,5,11.1,40
2561151,【定制】亚克力挂牌【鲜艳郁金香】,4月,35,4,11.4,31
2561449,【定制】大号围裙【草坪高地牛】,5月,35,4,11.4,31
2630671,豹纹单身派对拉旗,5月,42,5,11.9,37
2561228,【15pcs】水龙头接头软管套装-【套装23（散装）】【备注：一套袋装，加0.2元/包打包费】,4月,30,4,13.3,26
2630727,【12pcs】海洋主题鞋花,5月,50,7,14.0,43
2620607,【定制】挂牌-海边灯塔3,5月,40,6,15.0,34
2551342,【定制】20oz汽车杯-【第四翼龙】,4月,40,6,15.0,34
2620655,【定制】立牌-天使4,5月,65,10,15.4,55
2630738,【定制】护腕鼠标垫,5月,60,10,16.7,50
2551617,装饰庭院景观灯【紫色】带电,5月,60,10,16.7,50
2620736,【2pcs】感谢礼物家居桌面树脂装饰摆件【手捧爱心天使（粉色）】,5月,60,10,16.7,50
2630599,【定制】木质挂牌-花朵welcome【20*20】,5月,60,10,16.7,50
2561386,【8pcs】木质猫头鹰杯垫,5月,35,6,17.1,29
2551528,宠物牙垢剂60ml【下单说跟客服对接雪花】-带液体,5月,35,6,17.1,29
2561268,【10pcs】限位石膏板螺丝批头套装-【铝磁圈定位螺丝-黄*10】-带磁产品！【备注：10个/盒，改价22元一套】,5月,40,7,17.5,33
2551519,【21pcs】绿色傻鹅主题生日派对拉旗吊旋,5月,40,8,20.0,32
2620625,2d平面木质摆件【19】,5月,40,8,20.0,32
2561410,【定制】大号围裙【烫手高地牛】,5月,30,6,20.0,24
2551543,手工diy动物珠子套装【池塘朋友】,5月,30,6,20.0,24
2551391,【4pcs】洗车机配件【1个洗车机C形卡环*4】下单备注四个一套盒装,4月,30,6,20.0,24
2620554,【定制】挂牌-第四翼龙2,4月,30,6,20.0,24
2561271,【9pcs】卡皮蛋糕装饰品,5月,30,6,20.0,24
2551344,【定制】亚克力拥抱卡片-【知更鸟】 十字架 6x 7.4cm；卡片10*14cm,4月,40,8,20.0,32
2551469,【定制】【2pcs】亚克力花盆装饰-【麻雀】要金属杆子,5月,40,8,20.0,32
2561333,【3pcs】三不猫头鹰摆件-【大眼三不兰】【备注：改价单价18元】,5月,40,8,20.0,32
2620733,便利贴组合套装【高地牛组合】,5月,45,10,22.2,35
2551549,可爱动物串珠工艺套装【松鼠】,5月,45,10,22.2,35
2620645,【定制】亚克力地插-小熊1-【20*15cm 两个地插】,5月,40,9,22.5,31
2561357,吐泡泡包子蒸笼玩具-【紫色（带蒸笼）】【备注：独立opp袋装，加0.2元/个】,5月,40,9,22.5,31
2551421,【定制】亚克力挂牌-【蓝花】,4月,35,8,22.9,27
2620626,【定制】挂牌-海边贝壳,5月,30,7,23.3,23
2551443,【定制】3D旋转风铃金属挂牌-【第四翼龙】【20*20】,4月,30,7,23.3,23
2620570,【定制】挂牌-蝴蝶花丛1,5月,30,7,23.3,23
2620578,【6pcs】粉色木质杯垫【六件套*10*10*0.5cm 备注：下单备注分两列打包】,5月,30,7,23.3,23
2551445,【定制】3D旋转风铃金属挂牌-【大海无量】【20*20】,4月,30,7,23.3,23
2561462,P-40汽车出风口夹螺旋桨-【绿色鲨鱼嘴】,5月,40,10,25.0,30
2561450,【定制】大号围裙【做饭高地牛】,5月,40,10,25.0,30
2620688,【2pcs】【青色67钥匙扣【5cm】＋粉色67钥匙扣【5cm】 备注：两款各1为一套平铺打包】,5月,40,10,25.0,30
2630529,【定制】挂牌-生命树,4月,40,10,25.0,30
2551544,手工diy动物珠子套装【农场小可爱】,5月,35,9,25.7,26
2551389,【定制】木质挂牌-花园守护者【20*20】,4月,35,9,25.7,26
2561172,【定制】【2sets】生日针织玩偶礼物套装-【黄油吐司面包+钥匙扣】,4月,30,8,26.7,22
2561448,【3sets】海滩单身派对装饰 【备注：链接里拉旗和拉花组一包】,5月,30,8,26.7,22
2630528,【定制】挂牌-恶魔之眼,4月,30,8,26.7,22
2551438,【定制】单肩方包【game】【备注：压缩包装加1元】,4月,30,8,26.7,22
2620668,【3sets】长款流苏耳钉女【套装2 备注：协商11元一套】,5月,35,10,28.6,25
2551559,【定制】铁皮画-【向日葵欢迎牛】,5月,35,10,28.6,25
2630656,北欧风格装饰假书【7.8一套opp袋装】,5月,35,10,28.6,25
2561264,【31pcs】西部牛仔方巾蛋糕装饰【备注：套装包装尺寸高度控制在4cm内】,5月,30,9,30.0,21
2620665,【3pcs】粉色蝴蝶结书签套装【SQ0959＋SQ1354＋盒子 备注：麻烦仓库将两款书签各1放入盒子中打包】,5月,30,9,30.0,21
2561331,高地牛木质桌面摆件-【SCF088-3】,5月,30,9,30.0,21
2561275,【定制】化妆包【邮轮与度假】,5月,30,9,30.0,21
2630459,【定制】化妆包-伦敦,4月,30,9,30.0,21
2620704,【定制】挂牌-书橱,5月,30,9,30.0,21
2561280,【定制】【2pcs】超细纤维毛巾套装【伦敦主题】【备注：这两条装一袋，真空压缩】,5月,30,9,30.0,21
