排名,店铺,商品数,唯一nodeId数,类目重叠率(Jaccard),分布相似度(Cosine),价格带重合,总分
1,zhangxiaodonG,270,91,7.5%,0.761,93.5%,0.539
2,SDGHJZ,491,183,15.1%,0.642,94.7%,0.537
3,xinheibu,141,74,6.1%,0.714,97.4%,0.531
4,ShangXinWen-GB,213,91,7.5%,0.737,90.0%,0.521
5,xinchenliang,334,134,11.1%,0.633,95.6%,0.521
6,TAIZHOUMINGHAOZIDONGHUAKEJIYOUXIANGONGSI,279,147,12.2%,0.654,91.0%,0.518
7,yuzhoushiluanjiushangmaoyouxiangongsi,220,95,7.9%,0.622,97.6%,0.511
8,HANGZHOUSHIKONGJINGLINGKEJIYOUXIANGONGSI,129,51,4.2%,0.719,91.9%,0.508
9,zhoukoushiyuejieshangmaoyouxiangongsi,298,110,9.1%,0.685,86.3%,0.501
10,ZUOQUANGUIDIANPU,427,149,12.3%,0.549,94.4%,0.497
11,BloomMsg,448,242,20.0%,0.472,91.3%,0.496
12,BENHUANZPZ,413,70,5.8%,0.702,85.7%,0.491
13,zhoukoururushangmaoyouxiangongsi,179,79,6.5%,0.630,89.9%,0.485
14,wuzhengxiong,387,115,9.5%,0.583,89.7%,0.482
15,zhaofeiyu,185,94,7.8%,0.617,86.4%,0.475
16,LIchenwei,183,90,7.5%,0.618,86.2%,0.474
17,QINGDAOLIANGJIASHENGSHANGMAOYOUXIANGONGSI,76,44,3.6%,0.593,92.7%,0.471
18,yanbiao-eu,242,102,8.4%,0.529,91.9%,0.468
19,yingyaoshangmaoUKshop,297,129,10.7%,0.569,84.4%,0.466
20,zhoukoushilanpeishangmaoyouxiangongsi,205,67,5.5%,0.697,78.2%,0.466
21,GUANGZHOUDUANLINGSHANGMAOYOUXIANGONGSI,121,58,4.8%,0.597,88.7%,0.465
22,CLX-UK,229,85,7.0%,0.446,91.7%,0.437
23,YMSM-EU,320,114,9.4%,0.465,84.9%,0.432
24,zhoukoushizhizhuoshangmaoyouxiangongsi,51,35,2.9%,0.483,85.9%,0.414
25,ZhixunTechnology,199,166,13.7%,0.266,91.0%,0.408
26,zhoukouyitiaoshangmaoyouxiangongsi,227,86,7.1%,0.318,85.6%,0.381
27,SHEWUDE,200,68,5.6%,0.292,86.8%,0.371
28,Crysalone,184,147,12.2%,0.111,85.5%,0.339
29,luoheshinuomaixinxikejiyouxiangongsi,43,36,3.0%,0.055,80.1%,0.269
