marketplace	asin	bucket	element	is_owned	src	price	units	listing_days	fulfillment	brand	title	node_label_path
DE	B0GYDSWP6B	其他窗挂	其他元素	0	shop	4.49	34	51	FBA	Thinp	12 Stück Vogelschutz Fenster, Fensteraufkleber Vogelschutz Vogelaufkleber für Fensterscheiben Fensteraufkleber Suncatcher Sticker für Glasscheiben Bewahrt Vögel Schlag (31.5 * 17cm)	Küche, Haushalt & Wohnen:Wohnaccessoires & Deko:Dekoartikel:Aufkleber:Fensterbilder
DE	B0GQJ2SZS1	其他窗挂	其他元素	0	shop	5.48	29	100	FBA	DOPENSPI	2 Stück Fensterdeko Hängend Holz Anhänger, Fensterdeko Dekoanhänger Hängedeko Holz Herz Anhänger für Hochzeit Außendekoration Romantische Holzdekoherzen Wohnzimmer,Tür,Fensters,Baum	Baby:Baby- & Kleinkinderzimmer:Dekoartikel für Baby- & Kleinkinderzimmer:Fensterdeko
DE	B0GV3XVYGN	其他窗挂	其他元素	0	shop	12.74	27	105	FBM	Kibun	Holzherz Groß 25x25 cm zum Beschriften &amp; Bemalen XXL Handmade in Bayern, Massives Holz Herz als Fensterdeko Hängend, Herz Deko &amp; Verlobungsgeschenk (a) Einzeln)	Küche, Haushalt & Wohnen:Basteln, Malen & Handarbeiten:Holzwerken:Unbehandeltes Holz
DE	B0GXKBDKWP	其他窗挂	蝴蝶	0	shop	12.99	17	72	FBA	Valicaer	Fensterdeko Hängend 4-teiliges Linear Vogel Schmetterling Hängend Deko Set Frühlingsdeko Elegantes Zeitloses Design Modern Ganzjahres Fensterdeko Wanddeko Wandhängend Deko	Baby:Baby- & Kleinkinderzimmer:Dekoartikel für Baby- & Kleinkinderzimmer:Fensterdeko
DE	B0GYNM1VPL	其他窗挂	其他元素	0	shop	8.99	17	79	FBA	ChezMax	27 Buntstift Fensteraufkleber mit Gesichtern Fensterbilder Selbstklebend | 9 Bögen Doppelseitige Bleistift-Fensterdeko, Wiederverwendbare Sticker für Schulanfang, Schuleinführung &amp; Klassenzimmer Deko	Küche, Haushalt & Wohnen:Wohnaccessoires & Deko:Dekoartikel:Aufkleber:Fensterbilder
DE	B0GQGZPW4T	其他窗挂	其他元素	0	shop	9.99	16	69	FBA	Simsky	Simsky Makramee Wandbehang Handgemacht Grün, Boho Wandteppich Feder Blatt Wanddeko Wohnzimmer, Salbeigrün Deko Wohnung, Fensterdeko Hängend Schlafzimmer, Hochzeit Wanddekoration	Küche, Haushalt & Wohnen:Wohnaccessoires & Deko:Wandteppiche
DE	B0H144JD7S	其他窗挂	花	0	both	16.99	15	42	FBA	Wankd	Türkranz Trockenblumen,Trockenblumenkranz Deko,Fensterdeko Hängend 25 * 25cm,Dekokranz für Haustür,Fenster,Wohnzimmer und Hochzeit,Ganzjährig Dekokranz	Küche, Haushalt & Wohnen:Wohnaccessoires & Deko:Dekoartikel:Kränze
DE	B0GZNTT5J6	其他窗挂	花+蝴蝶	0	shop	8.99	10	38	FBA	intellitoy	Pusteblumen Fensterbilder 30x90cm 2er Set selbsthaftende Fensterfolie Dekorative Fensterdeko mit Schmetterlingen für Sommer und Kinderzimmer DIY Deko	Küche, Haushalt & Wohnen:Wohnaccessoires & Deko:Dekoartikel:Aufkleber:Fensterbilder
DE	B0GY8QDYB3	其他窗挂	花	0	shop	8.99	9	28	FBA	Cryluxial	9 Stück Papierblumen zum Aufhängen Set Rosa Gelb Rose Papierfächer Party Deko Fensterdeko Hängend für Geburtstagsdeko Tischdeko Frühling Sommerdeko Girlande Geburtstag	Küche, Haushalt & Wohnen:Basteln, Malen & Handarbeiten:Partyzubehör & Dekoration:Dekorationen:Girlanden
DE	B0GV47ZD7Y	其他窗挂	其他元素	0	shop	7.99	8	88	FBA	Infinity &amp; Breathe	Infinity &amp; Breathe 2er Set Line Art Vögel Fensterdeko Hängend Modern - Elegante Wanddeko Aus Metall Für Fenster &amp; Wohnzimmer - Fensterdeko Hängend Ganzjährig,Zeitloses Design, Schwarz	Küche, Haushalt & Wohnen:Wohnaccessoires & Deko:Dekoartikel:Aufkleber:Fensterbilder
