来源sheet,序号,时间,产品名称,SKU,开发,运营,采购数量,CPC段,市场价格段,开品理由,开发备注,竞品链接1,竞品链接2,竞品链接3,售价,空运利润$,空运利润率,海运利润$,海运利润率,站点,汇率,长cm,宽cm,高cm,体积重kg,毛重kg,采购价¥,供应商,材质,中文报关名,英文报关名,产品尺寸
英国,1,46203,【定制】亚克力挂牌-【生命秋树】,2551904,陈杨,尹心如,10,,,秋季元素,,https://www.amazon.co.uk/dp/B0FBWX9C1N/ref=mweb_up_am_fl_st_na_un_up_sm_web,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F81XF8P1OQrL._AC_SL1500_.jpg,,6.99,2.23895667447307,0.320308537120611,2.44972950819672,0.350462018340017,UK,8.54,20,20,0.5,0.0333333333333333,0.06,4,义乌市鼎禾工艺品有限公司,亚克力,挂件,Pendant,20*20
英国,2,46203,【定制】亚克力挂牌-【枫叶罗宾】,2551905,陈杨,尹心如,15,,,秋季元素,,https://www.amazon.co.uk/dp/B0GV2J1963/ref=mweb_up_am_fl_st_na_un_up_sm_web,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F81vBUuLZvpL._SL400_.jpg,,6.99,2.23895667447307,0.320308537120611,2.44972950819672,0.350462018340017,UK,8.54,20,20,0.5,0.0333333333333333,0.06,4,义乌市鼎禾工艺品有限公司,亚克力,挂件,Pendant,20*20
英国,3,46203,【定制】亚克力挂牌-【枫叶知更鸟】,2551906,陈杨,"张奋奋
余江燕","10
15",,,秋季元素,,https://www.amazon.co.uk/dp/B0GV2J1963/ref=mweb_up_am_fl_st_na_un_up_sm_web,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F81vBUuLZvpL._SL400_.jpg,,6.99,2.23895667447307,0.320308537120611,2.44972950819672,0.350462018340017,UK,8.54,20,20,0.5,0.0333333333333333,0.06,4,义乌市鼎禾工艺品有限公司,亚克力,挂件,Pendant,20*20
英国,4,46203,【定制】亚克力挂牌-【枫叶猫咪】,2551907,陈杨,"尹心如
余江燕","15
10",,,秋季元素,,https://www.amazon.co.uk/dp/B0GVYWY25T/ref=mweb_up_am_fl_st_na_un_up_sm_web?th=1,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F81dW9akWzbL._AC_SL1500_.jpg,https://www.amazon.com/XINCEYWJ-Suncatchers-Catchers-Christmas-6-5x8-8in/dp/B0GZDSWXQX/ref,6.99,2.23895667447307,0.320308537120611,2.44972950819672,0.350462018340017,UK,8.54,20,20,0.5,0.0333333333333333,0.06,4,义乌市鼎禾工艺品有限公司,亚克力,挂件,Pendant,20*20
英国,5,46203,【定制】【4set】亚克力口袋卡片-【粉天使】,2551908,陈杨,尹心如,10,,,供应商新款,,https://www.amazon.co.uk/dp/B0G39297SB/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61HZwqzWOBL._AC_SL1500_.jpg,,6.99,2.74392154566745,0.392549577348705,2.81417915690866,0.402600737755174,UK,8.54,10,10,1,0.0166666666666667,0.02,2,郑州绘星花卉有限公司,亚克力,挂件,Pendant,产品尺寸：5*7cm 卡片尺寸8*12cm
英国,6,46203,【定制】【4set】亚克力口袋卡片-【蓝天使】,2551909,陈杨,尹心如,10,,,供应商新款,,https://www.amazon.co.uk/dp/B0G39297SB/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61HZwqzWOBL._AC_SL1500_.jpg,,6.99,2.27553747072599,0.325541841305579,2.34579508196721,0.335593001712048,UK,8.54,10,10,1,0.0166666666666667,0.02,6,郑州绘星花卉有限公司,亚克力,挂件,Pendant,产品尺寸：5*7cm 卡片尺寸8*12cm
英国,7,46203,【定制】【4pcs】亚克力口袋卡片-【紫天使】,2551910,陈杨,,,,,供应商新款,,https://www.amazon.co.uk/dp/B0G39297SB/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61HZwqzWOBL._AC_SL1500_.jpg,,6.99,2.27553747072599,0.325541841305579,2.34579508196721,0.335593001712048,UK,8.54,10,10,1,0.0166666666666667,0.02,6,郑州绘星花卉有限公司,亚克力,挂件,Pendant,产品尺寸：5*7cm 卡片尺寸8*12cm
英国,8,46203,【定制】【4pcs】亚克力口袋卡片-【黄天使】,2551911,陈杨,,,,,供应商新款,,https://www.amazon.co.uk/dp/B0G39297SB/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61HZwqzWOBL._AC_SL1500_.jpg,,6.99,2.27553747072599,0.325541841305579,2.34579508196721,0.335593001712048,UK,8.54,10,10,1,0.0166666666666667,0.02,6,郑州绘星花卉有限公司,亚克力,挂件,Pendant,产品尺寸：5*7cm 卡片尺寸8*12cm
英国,9,46203,【定制】【4pcs】亚克力口袋卡片-【白天使】,2551912,陈杨,,,,,供应商新款,,https://www.amazon.co.uk/dp/B0G39297SB/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61HZwqzWOBL._AC_SL1500_.jpg,,6.99,2.27553747072599,0.325541841305579,2.34579508196721,0.335593001712048,UK,8.54,10,10,1,0.0166666666666667,0.02,6,郑州绘星花卉有限公司,亚克力,挂件,Pendant,产品尺寸：5*7cm 卡片尺寸8*12cm
英国,10,46203,【定制】【4set】亚克力口袋卡片-【彩天使】,2551913,陈杨,,,,,供应商新款,,https://www.amazon.co.uk/dp/B0G39297SB/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61HZwqzWOBL._AC_SL1500_.jpg,,6.99,2.27553747072599,0.325541841305579,2.34579508196721,0.335593001712048,UK,8.54,10,10,1,0.0166666666666667,0.02,6,郑州绘星花卉有限公司,亚克力,挂件,Pendant,产品尺寸：5*7cm 卡片尺寸8*12cm
英国,11,46203,【定制】亚克力吊坠挂牌-【向日葵】,2551914,陈杨,李杉,10,,,向日葵元素好卖，风格也适合秋天,,https://www.amazon.co.uk/dp/B0GKR7R3GP/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F516JaGrhjeL._AC_.jpg,,7.99,2.53766861826698,0.317605584263702,2.74844145199063,0.34398516295252,UK,8.54,20,20,0.5,0.0333333333333333,0.06,7,义乌市鼎禾工艺品有限公司,亚克力,挂件,Pendant,20*20
英国,12,46203,卡通狐狸笔袋【原色】,2551915,陈杨,"尹心如
余江燕","10
20",,,很新，英德销量都不错，英国没有FBA速上,德国,https://www.amazon.co.uk/dp/B0H2YG1SYZ/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61uO0JxUZHL._AC_SL1500_.jpg,https://www.amazon.de/dp/B0H45R5STL?psc=1,12.99,2.73300819672131,0.210393240702179,3.65104098360656,0.281065510670251,UK,8.54,32,7,7,0.261333333333333,0.05,11.9,白沟新城稻点毛绒玩具厂,PP绵,笔袋,pencil case,头到尾是32厘米，宽度是9厘米
英国,13,46203,卡通狐狸笔袋【白色】,2551916,陈杨,余江燕,15,,,很新，英德销量都不错，英国没有FBA速上,,https://www.amazon.co.uk/dp/B0H2YG1SYZ/ref,https://www.amazon.co.uk/stylesnap?q=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F61uO0JxUZHL._AC_SL1500_.jpg,https://www.amazon.de/dp/B0H45R5STL?psc=1,12.99,2.73300819672131,0.210393240702179,3.65104098360656,0.281065510670251,UK,8.54,32,7,7,0.261333333333333,0.05,11.9,白沟新城稻点毛绒玩具厂,PP绵,笔袋,pencil case,头到尾是32厘米，宽度是9厘米
