idx	SKU	开发	站点	产品名称	开品理由	售价	采购价¥	空运利润率
1	2551904	陈杨	UK	【定制】亚克力挂牌-【生命秋树】	秋季元素	6.99	4	0.320308537120611
2	2551905	陈杨	UK	【定制】亚克力挂牌-【枫叶罗宾】	秋季元素	6.99	4	0.320308537120611
3	2551906	陈杨	UK	【定制】亚克力挂牌-【枫叶知更鸟】	秋季元素	6.99	4	0.320308537120611
4	2551907	陈杨	UK	【定制】亚克力挂牌-【枫叶猫咪】	秋季元素	6.99	4	0.320308537120611
5	2551908	陈杨	UK	【定制】【4set】亚克力口袋卡片-【粉天使】	供应商新款	6.99	2	0.392549577348705
6	2551909	陈杨	UK	【定制】【4set】亚克力口袋卡片-【蓝天使】	供应商新款	6.99	6	0.325541841305579
7	2551910	陈杨	UK	【定制】【4pcs】亚克力口袋卡片-【紫天使】	供应商新款	6.99	6	0.325541841305579
8	2551911	陈杨	UK	【定制】【4pcs】亚克力口袋卡片-【黄天使】	供应商新款	6.99	6	0.325541841305579
9	2551912	陈杨	UK	【定制】【4pcs】亚克力口袋卡片-【白天使】	供应商新款	6.99	6	0.325541841305579
10	2551913	陈杨	UK	【定制】【4set】亚克力口袋卡片-【彩天使】	供应商新款	6.99	6	0.325541841305579
11	2551914	陈杨	UK	【定制】亚克力吊坠挂牌-【向日葵】	向日葵元素好卖，风格也适合秋天	7.99	7	0.317605584263702
12	2551915	陈杨	UK	卡通狐狸笔袋【原色】	很新，英德销量都不错，英国没有FBA速上	12.99	11.9	0.210393240702179
13	2551916	陈杨	UK	卡通狐狸笔袋【白色】	很新，英德销量都不错，英国没有FBA速上	12.99	11.9	0.210393240702179
14	2551917	陈杨	UK	韩版刺绣软顶棒球帽【卡其色】	非常热销，英德销量都很大	9.99	6	0.18254190959109
15	2551918	陈杨	UK	韩版刺绣软顶棒球帽【灰色】	非常热销，英德销量都很大	9.99	6	0.18254190959109
16	2551919	陈杨	UK	【定制】亚克力挂牌-【读者】	外网热卖	6.99	4	0.320308537120611
17	2551920	陈杨	UK	花朵鸭舌帽-【QJ2600511-7】	拓品	13.99	18	0.19502798084279
18	2551921	陈杨	UK	直升机风车	拓品	19.99	21	0.324038424364407
19	2551922	陈杨	UK	飞行员花园装饰摆件	拓品	19.99	24	0.301193278137898
20	2551923	陈杨	UK	【定制】侧兜午餐包-【紫色闪电】	市场上大量上新	9.99	17.5	0.187310143867521
21	2551924	陈杨	UK	头戴式防尘防风沙战术眼镜	FBM上新销量不错	15.99	5.8	0.205708851990339
22	2551925	陈杨	UK	金属铁艺花艺摆件【蓝鸟】	供应商新款，FBM上新	16.99	20	0.206504514985396
23	2551926	陈杨	UK	发光园林树脂花园装饰品【LD-050-黄桶高地牛】带电	供应商新款，FBM上新	34.99	38	0.213458412005304
24	2551927	陈杨	UK	发光园林树脂花园装饰品【LD-051-蓝桶高地牛】带电	供应商新款，FBM上新	34.99	38	0.213458412005304
25	2551928	陈杨	UK	【定制】侧兜午餐包-【粉色闪电】	市场上大量上新	9.99	17.5	0.187310143867521
26	2551931	陈杨	UK	【定制】亚克力挂牌-【秋狐】	秋季元素	6.99	4	0.320308537120611
27	2551933	陈杨	UK	【定制】侧兜午餐包-【粉底紫色闪电】	市场上大量上新	9.99	17.5	0.187310143867521
28	2551934	陈杨	UK	【定制】亚克力吊坠挂牌-【五只罗宾】	异形好卖	7.99	7	0.317605584263702
29	2551935	陈杨	UK	【定制】亚克力吊坠挂牌-【紫龙】	异形好卖	7.99	7	0.317605584263702
30	2551936	陈杨	UK	【定制】亚克力挂牌-【双龙】	异形好卖	6.99	4	0.320308537120611
31	2551938	陈杨	UK	【定制】【2pcs】化妆包-【编制收纳】	秋季针织会热销	6.99	7	0.289567063017425
32	2551939	陈杨	UK	【定制】【2pcs】化妆包-【编制收纳2】	秋季针织会热销	6.99	7	0.289567063017425
33	2551940	陈杨	UK	【2pcs】手部去茧球握力训练器【3cm】	销量很好，性价比	8.99	12	0.196376014984122
34	2551941	陈杨	UK	【定制】亚克力吊坠挂牌-【三只罗宾】	异形好卖	7.99	7	0.317605584263702
35	2551943	陈杨	UK	【定制】亚克力挂牌-【暗影龙】	异形好卖	6.99	4	0.320308537120611
36	2630932	周沁仪	UK	【9sheet】秋季动物树枝窗贴	供应商新款，去年的款卖的很好	7.99	8.18	0.214675399284234
37	2630933	周沁仪	UK	摩斯密码strong手链	美国站链接卖的最好的款，英国无同款卡片	6.99	7.5	0.287153109326472
38	2630934	周沁仪	UK	友谊粉水晶祝福卡片	美国站链接卖的最好的款，英国无同款卡片	5.99	5.8	0.2752849206132
