ASIN,基准SKU,基准店铺,开发人,创建时间,最新Listing标签,首次观察到FBA库存月,库存首现店铺,库存首现国家,库存首现SKU,库存首现月FBA库存合计,首次观察到FBA可售月,可售首现店铺,可售首现国家,可售首现SKU,可售首现月FBA可售合计,月级FBA库存观察状态,数据覆盖截止月
B08BZLTFPX,2255017,AM-GC-UK,蒋舒,2025-11-06 08:00:00 +00:00,欧洲精铺2025淘汰,2025-09,AM-GC-UK,英国,2255017,10.0,2025-09,AM-GC-UK,英国,2255017,9.0,已观察到FBA库存,2026-06
B08QYTQTRB,2560522,AM-Yuanyue-UK,宋凤莉,2025-12-05 05:17:36 +00:00,欧洲精铺2025淘汰,2025-12,AM-Yuanyue-UK,英国,2560522,15.0,2025-12,AM-Yuanyue-UK,英国,2560522,15.0,已观察到FBA库存,2026-06
B0CKTCC9VL,1931617,AM-shangchi-DE,于林,2026-06-03 03:54:29 +03:00,欧洲精铺2025,2025-05,AM-shangchi-UK,英国,1931617,30.0,2025-06,AM-shangchi-UK,英国,1931617,24.0,已观察到FBA库存,2026-06
B0DDC77PXV,2270211,AM-GC-UK,蒋舒,2026-05-27 02:05:34 +01:00,欧洲精铺2025,2025-06,AM-GC-UK,英国,2270211,24.0,2025-06,AM-GC-UK,英国,2270211,23.0,已观察到FBA库存,2026-06
B0DDC7WL2C,2270246,AM-GC-UK,蒋舒,2025-06-07 03:58:22 +01:00,欧洲精铺2025,2025-04,AM-GC-UK,英国,2270246,2.0,2025-04,AM-GC-UK,英国,2270246,2.0,已观察到FBA库存,2026-06
B0DRVG7W9F,2270343,AM-GC-UK,贺蓉晖,2025-06-11 08:09:41 +01:00,欧洲精铺2025,2025-06,AM-GC-UK,英国,2270343,2.0,2025-06,AM-GC-UK,英国,2270343,2.0,已观察到FBA库存,2026-06
B0F2DPQZJ4,2254348,AM-GC-UK,蒋舒,2025-12-25 03:01:54 +00:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254348,10.0,2025-05,AM-GC-UK,英国,2254348,10.0,已观察到FBA库存,2026-06
B0F2HTKPJ6,2254352,AM-GC-UK,蒋舒,2025-05-16 02:43:12 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254352,2.0,2025-05,AM-GC-UK,英国,2254352,14.0,已观察到FBA库存,2026-06
B0F37MMW1S,2254359,AM-GC-UK,蒋舒,2025-04-01 09:22:30 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254359,11.0,2025-04,AM-GC-UK,英国,2254359,9.0,已观察到FBA库存,2026-06
B0F384NGK9,2254360,AM-GC-UK,蒋舒,2025-04-01 09:43:39 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254360,10.0,2025-04,AM-GC-UK,英国,2254360,10.0,已观察到FBA库存,2026-06
B0F3GT3ZDT,2254365,AM-GC-UK,蒋舒,2025-04-03 02:59:32 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254365,10.0,2025-04,AM-GC-UK,英国,2254365,10.0,已观察到FBA库存,2026-06
B0F3GWZP84,2254361,AM-GC-UK,蒋舒,2025-04-03 02:34:40 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254361,15.0,2025-05,AM-GC-UK,英国,2254361,15.0,已观察到FBA库存,2026-06
B0F3H4SL9W,2254364,AM-GC-UK,蒋舒,2025-09-25 07:45:14 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254364,10.0,2025-04,AM-GC-UK,英国,2254364,10.0,已观察到FBA库存,2026-06
B0F3HH9DV2,2254363,AM-GC-UK,蒋舒,2025-04-03 02:59:32 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254363,10.0,2025-04,AM-GC-UK,英国,2254363,10.0,已观察到FBA库存,2026-06
B0F3HQGTZL,2254367,AM-GC-UK,蒋舒,2025-04-03 03:47:17 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254367,10.0,2025-04,AM-GC-UK,英国,2254367,10.0,已观察到FBA库存,2026-06
B0F3HT3STH,2254366,AM-GC-UK,蒋舒,2025-04-03 03:47:17 +01:00,欧洲精铺2025淘汰,2025-04,AM-GC-UK,英国,2254366,10.0,2025-04,AM-GC-UK,英国,2254366,10.0,已观察到FBA库存,2026-06
B0F3JFSJ96,2254370,AM-GC-UK,蒋舒,2025-04-03 10:41:32 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254370,19.0,2025-05,AM-GC-UK,英国,2254370,19.0,已观察到FBA库存,2026-06
B0F42QWCNW,2254368,AM-GC-UK,蒋舒,2025-04-30 09:46:23 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254368,16.0,2025-05,AM-GC-UK,英国,2254368,16.0,已观察到FBA库存,2026-06
B0F42R1X91,2254371,AM-GC-UK,蒋舒,2025-05-06 02:53:16 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254371,1.0,,,,,0,已观察到FBA库存,2026-06
B0F42Y7XSL,2254369,AM-GC-UK,蒋舒,2025-04-30 09:48:58 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254369,22.0,2025-05,AM-GC-UK,英国,2254369,22.0,已观察到FBA库存,2026-06
B0F5B99W2S,2254374,AM-GC-UK,蒋舒,2025-04-17 10:48:36 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254374,15.0,2025-05,AM-GC-UK,英国,2254374,15.0,已观察到FBA库存,2026-06
B0F5B9D5T1,2254377,AM-GC-UK,蒋舒,2025-09-08 04:55:26 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254377,51.0,2025-05,AM-GC-UK,英国,2254377,3.0,已观察到FBA库存,2026-06
B0F5B9PC2H,2254372,AM-GC-UK,蒋舒,2025-04-17 10:48:36 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254372,14.0,2025-05,AM-GC-UK,英国,2254372,14.0,已观察到FBA库存,2026-06
B0F5BBG5WN,2254380,AM-GC-UK,蒋舒,2025-05-06 02:56:44 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254380,8.0,2025-05,AM-GC-UK,英国,2254380,7.0,已观察到FBA库存,2026-06
B0F5BBM8Z5,2254385,AM-GC-UK,蒋舒,2025-05-06 03:00:31 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254385,22.0,2025-05,AM-GC-UK,英国,2254385,22.0,已观察到FBA库存,2026-06
B0F5BBYHNC,2254375,AM-GC-UK,蒋舒,2025-05-07 04:54:50 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254375,19.0,2025-05,AM-GC-UK,英国,2254375,18.0,已观察到FBA库存,2026-06
B0F5BCBX4L,2254389,AM-GC-UK,蒋舒,2025-05-06 03:04:53 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254389,29.0,2025-05,AM-GC-UK,英国,2254389,29.0,已观察到FBA库存,2026-06
B0F5BCHTXY,2254378,AM-GC-UK,蒋舒,2025-04-17 10:57:26 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254378,3.0,2025-05,AM-GC-UK,英国,2254378,3.0,已观察到FBA库存,2026-06
B0F5BCMTPP,2254395,AM-GC-UK,蒋舒,2025-04-17 11:18:47 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254395,19.0,2025-05,AM-GC-UK,英国,2254395,19.0,已观察到FBA库存,2026-06
B0F5BCWVTP,2254384,AM-GC-UK,蒋舒,2025-05-06 03:00:25 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254384,24.0,2025-05,AM-GC-UK,英国,2254384,24.0,已观察到FBA库存,2026-06
B0F5BDD9YZ,2254379,AM-GC-UK,蒋舒,2025-04-17 10:57:26 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254379,14.0,2025-05,AM-GC-UK,英国,2254379,14.0,已观察到FBA库存,2026-06
B0F5BDQSKQ,2254381,AM-GC-UK,蒋舒,2025-05-06 02:57:59 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254381,8.0,2025-05,AM-GC-UK,英国,2254381,8.0,已观察到FBA库存,2026-06
B0F5BF7B17,2254376,AM-GC-UK,蒋舒,2025-05-07 04:54:50 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254376,20.0,2025-05,AM-GC-UK,英国,2254376,20.0,已观察到FBA库存,2026-06
B0F5BF8836,2254373,AM-GC-UK,蒋舒,2025-04-17 10:48:36 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254373,14.0,2025-05,AM-GC-UK,英国,2254373,14.0,已观察到FBA库存,2026-06
B0F5BF997J,2254386,AM-GC-UK,蒋舒,2025-05-06 03:00:33 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254386,18.0,2025-05,AM-GC-UK,英国,2254386,18.0,已观察到FBA库存,2026-06
B0F5BF9WVH,2254383,AM-GC-UK,蒋舒,2025-04-17 11:10:48 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254383,4.0,2025-05,AM-GC-UK,英国,2254383,4.0,已观察到FBA库存,2026-06
B0F5BFMTPG,2254388,AM-GC-UK,蒋舒,2025-04-17 11:22:24 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254388,15.0,2025-05,AM-GC-UK,英国,2254388,15.0,已观察到FBA库存,2026-06
B0F5BFRGFM,2254392,AM-GC-UK,蒋舒,2025-04-17 11:30:10 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254392,17.0,2025-05,AM-GC-UK,英国,2254392,17.0,已观察到FBA库存,2026-06
B0F5BFSXL3,2254390,AM-GC-UK,蒋舒,2025-05-06 03:02:39 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254390,24.0,2025-05,AM-GC-UK,英国,2254390,24.0,已观察到FBA库存,2026-06
B0F5BFWRBC,2254394,AM-GC-UK,蒋舒,2025-09-04 07:41:04 +01:00,欧洲精铺2025,2025-05,AM-GC-UK,英国,2254394,9.0,2025-05,AM-GC-UK,英国,2254394,9.0,已观察到FBA库存,2026-06
B0F5BG9QF8,2254393,AM-GC-UK,蒋舒,2025-04-17 11:30:10 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254393,28.0,2025-05,AM-GC-UK,英国,2254393,28.0,已观察到FBA库存,2026-06
B0F5BH7BD8,2254391,AM-GC-UK,蒋舒,2025-04-17 11:30:10 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254391,18.0,2025-05,AM-GC-UK,英国,2254391,18.0,已观察到FBA库存,2026-06
B0F5BHXJVK,2254382,AM-GC-UK,蒋舒,2025-04-17 11:10:48 +01:00,欧洲精铺2025淘汰,2025-06,AM-GC-UK,英国,2254382,28.0,2025-06,AM-GC-UK,英国,2254382,28.0,已观察到FBA库存,2026-06
B0F5BLFCXH,2254387,AM-GC-UK,蒋舒,2025-04-17 11:22:24 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254387,17.0,2025-05,AM-GC-UK,英国,2254387,17.0,已观察到FBA库存,2026-06
B0F62TDLS6,2254402,AM-GC-UK,蒋舒,2025-04-23 08:54:34 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254402,5.0,2025-05,AM-GC-UK,英国,2254402,4.0,已观察到FBA库存,2026-06
B0F62W29FK,2254401,AM-GC-UK,蒋舒,2025-04-23 08:54:34 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254401,17.0,2025-05,AM-GC-UK,英国,2254401,16.0,已观察到FBA库存,2026-06
B0F62WCBG5,2254403,AM-GC-UK,蒋舒,2025-04-23 08:54:34 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254403,4.0,2025-05,AM-GC-UK,英国,2254403,4.0,已观察到FBA库存,2026-06
B0F62YK6TS,2254410,AM-GC-UK,蒋舒,2025-04-23 09:46:30 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254410,14.0,2025-05,AM-GC-UK,英国,2254410,14.0,已观察到FBA库存,2026-06
B0F63154ST,2254414,AM-GC-UK,蒋舒,2025-04-23 10:07:26 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254414,14.0,2025-05,AM-GC-UK,英国,2254414,14.0,已观察到FBA库存,2026-06
B0F631X4JY,2254415,AM-GC-UK,蒋舒,2025-06-17 08:11:53 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254415,15.0,2025-05,AM-GC-UK,英国,2254415,15.0,已观察到FBA库存,2026-06
B0F63276PY,2254413,AM-GC-UK,蒋舒,2025-04-23 10:07:26 +01:00,欧洲精铺2025淘汰,2025-05,AM-GC-UK,英国,2254413,12.0,2025-05,AM-GC-UK,英国,2254413,12.0,已观察到FBA库存,2026-06
